emoji,en,clean_en,zh-TW
🥇,:1st_place_medal:,1st place medal,第一名獎牌
🥈,:2nd_place_medal:,2nd place medal,第二名獎牌
🥉,:3rd_place_medal:,3rd place medal,第三名獎牌
🅰,:A_button_(blood_type):,A button (blood type),A鈕（血型）
♈,:Aries:,Aries,白羊座
♋,:Cancer:,Cancer,癌症
🎄,:Christmas_tree:,Christmas tree,聖誕樹
🇨🇷,:Costa_Rica:,Costa Rica,哥斯達黎加
🔚,:END_arrow:,END arrow,結束箭頭
🆓,:FREE_button:,FREE button,免費按鈕
🇫🇷,:France:,France,法國
🇬🇺,:Guam:,Guam,關島
🇮🇩,:Indonesia:,Indonesia,印度尼西亞
🇮🇹,:Italy:,Italy,意大利
🇯🇵,:Japan:,Japan,日本
🉑,:Japanese_acceptable_button:,Japanese acceptable button,日本可接受的按鈕
🉐,:Japanese_bargain_button:,Japanese bargain button,日本討價還價按鈕
🏯,:Japanese_castle:,Japanese castle,日本城堡
㊗️,:Japanese_congratulations_button:,Japanese congratulations button,日本的祝賀按鈕
㊗,:Japanese_congratulations_button:,Japanese congratulations button,日本的祝賀按鈕
🈹,:Japanese_discount_button:,Japanese discount button,日本折扣按鈕
🎎,:Japanese_dolls:,Japanese dolls,日本娃娃
🈷️,:Japanese_monthly_amount_button:,Japanese monthly amount button,日本每月金額按鈕
🈵,:Japanese_no_vacancy_button:,Japanese no vacancy button,日本沒有空缺按鈕
🈶,:Japanese_not_free_of_charge_button:,Japanese not free of charge button,日語不是免費按鈕
🈺,:Japanese_open_for_business_button:,Japanese open for business button,日本打開業務按鈕
🈴,:Japanese_passing_grade_button:,Japanese passing grade button,日本及格按鈕
🈲,:Japanese_prohibited_button:,Japanese prohibited button,日本禁止按鈕
㊙️,:Japanese_secret_button:,Japanese secret button,日本秘密按鈕
♌,:Leo:,Leo,獅子座
🇲🇾,:Malaysia:,Malaysia,馬來西亞
🆕,:NEW_button:,NEW button,新按鈕
🇳🇱,:Netherlands:,Netherlands,荷蘭
👌,:OK_hand:,OK hand,好的手
👌🏿,:OK_hand_dark_skin_tone:,OK hand dark skin tone,OK手深膚色
👌🏻,:OK_hand_light_skin_tone:,OK hand light skin tone,OK手淺膚色
👌🏾,:OK_hand_medium-dark_skin_tone:,OK hand medium-dark skin tone,OK 手 中深膚色
👌🏼,:OK_hand_medium-light_skin_tone:,OK hand medium-light skin tone,OK手中淺膚色
🅿️,:P_button:,P button,P鍵
🇵🇭,:Philippines:,Philippines,菲律賓
♓,:Pisces:,Pisces,雙魚座
🔜,:SOON_arrow:,SOON arrow,很快箭頭
🆘,:SOS_button:,SOS button,求救按鈕
♐,:Sagittarius:,Sagittarius,射手座
🎅,:Santa_Claus:,Santa Claus,聖誕老人
🎅🏻,:Santa_Claus_light_skin_tone:,Santa Claus light skin tone,聖誕老人淺膚色
🇰🇷,:South_Korea:,South Korea,韓國
🇸🇪,:Sweden:,Sweden,瑞典
🦖,:T-Rex:,T-Rex,霸王龍
